"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Dem. Rep.","COD","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.16","8.78","7.86","7.35","4.71","5.49","5.81","4.77","4.13","3.09","2.04","1.64","1.71","2.01","2.11","2.55","2.68","2.87","3.07","2.74","3.08","3.69","2.88","3.2","3.51","3.23","2.54","2.59","3.43","3.52","3.25","2.86","3.97","","",
"Congo, Rep.","COG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.25","35.2","33.01","32.09","20.37","29.64","22.03","18.56","15.82","16.68","26.31","29.36","24.25","32.5","32.11","33.25","28.97","35.1","35.49","40.21","42.01","36.56","41.47","43.1","41.11","42.94","43.46","41.58","42.96","47.23","47.93","48.44","51.82","","",
"Colombia","COL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.58","68.44","71.38","70.84","69.85","70.1","70.43","76.3","77.4","73.84","76.27","76.99","75.28","74.34","75.16","76.23","75.3","74.4","74.84","77.14","75.76","74.73","73.41","74.64","75.04","75.65","76.62","74.14","74.71","77.06","76","76.07","73.8","75.26","",
"Comoros","COM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.53","59.41","58.76","58.57","57.93","59.28","57.26","58.92","63.73","61","59.03","57.22","55.19","56.56","48.06","46.99","47.42","49.9","50.1","48.8","48.37","49.57","48.06","47.82","47.97","47.42","52.31","54.91","56.76","51.55","46.97","50.17","50.71","51.55","",
"Caribbean small states","CSS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","75.5848430746398","76.6567852827596","70.2898274342284","74.3039928179725","15.6170682233808","17.9180873249694","16.1151415770591","14.6490251731107","73.5682269049915","73.8132322181805","79.4149219440518","79.2907419758352","80.3094359758444","76.8841991467123","76.253495819507","","","","","","","","","","",
"Cuba","CUB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.69","59.47","54.94","61.61","62.83","68.85","66.95","68.9","71.65","70.48","70.9","69.73","72.63","75.27","75.44","81","84.22","84.94","86.9","86.05","88.95","86.86","86.56","86.43","84.58","84.54","87.66","83.85","80.33","82.53","81.51","84.7","88.08","","",
"Curacao","CUW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","99.95","99.95","99.95","99.95","99.97","99.97","99.97","99.97","99.72","99.71","99.7","99.72","99.7","99.7","99.73","99.75","99.76","99.73","99.75","99.76","99.49","99.46","99.49","99.38","99.04","98.56","97.87","97.62","97.7","97.85","","",
"Cayman Islands","CYM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.55","99.6","99.65","99.68","99.28","97.38","97.61","97.6","97.69","97.7","97.87","97.83","97.79","97.82","97.52","97.45","97.53","96.75","96.02","95.61","95.32","94.8","94.03","92.85","92.86","91.85","91.91","91.17","90.52","90","87.61","86.87","86.5","","",
"Czechia","CZE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.22","90.93","89.51","88.81","87.96","88.77","88.82","89.02","88.38","87.37","89.38","88.49","86.09","83.69","83.18","83.12","82.47","82.74","80.82","78.87","79.24","77.96","76","74.9","73.89","75.01","75.96","74.63","73.77","72.23","69.59","70.25","70.25","67.78","",
"Germany","DEU","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.84","87.1","85.96","86.04","86.03","85.81","85.91","84.63","84.93","83.93","83.63","83.61","83.28","82.93","82.23","81.56","80.82","80.71","79.92","79.3","78.76","79.67","79.68","80.23","79.39","79.59","80.3","80.28","79.5","78.08","76.68","77.03","78.47","77.6","",
"Djibouti","DJI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.59","94.08","90.73","91.76","94.65","92.37","98.53","94.37","92.67","90.89","88.28","88.27","87.99","89.68","85.47","82.17","86.64","82.05","80.36","79.97","78.4","74.81","70.91","72.31","68.35","64.78","64.89","62","61.92","58.52","55.01","53.53","54.36","50.01","",
"Dominican Republic","DOM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.49","76.22","78.82","81.1","83.62","84.98","85.62","87.23","86.49","86.44","87.39","87.45","87.96","86.48","85.42","85.96","86.67","87.06","87.08","86.89","87.39","87.77","87.49","87.12","87.35","89.01","88.6","86.88","87.6","88.9","87.34","88.12","89.36","","",
"Algeria","DZA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.94","100","100","100","100","99.87","99.84","99.76","99.71","99.74","99.81","99.78","99.74","99.73","99.74","99.61","99.74","99.75","99.82","99.81","99.85","99.89","99.86","99.91","99.98","99.96","99.98","99.94","99.87","99.89","99.89","100","100","","",
"East Asia & Pacific (excluding high income)","EAP","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9687914080668","71.4493591212892","72.0679317852149","73.4236272672784","73.9534702829242","75.3492723898001","76.0150402683546","76.1494014590489","75.9476876626677","76.3218486407522","76.6842839444293","77.1480292672079","78.2122792003789","80.1321257023937","81.7918314663242","82.9937194788453","83.9106011709118","84.5484430944423","84.3975133247985","84.6801752326896","85.5202535953956","86.1279982332678","85.6947809487832","85.6809794568172","85.4995945464607","","","","","","","","","","",
"Early-demographic dividend","EAR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1937364675466","71.3168163206083","71.8245196483563","72.4046757401835","73.0372021364399","73.8844625521144","74.1971084877973","74.4867239805682","74.791008236805","75.2384177000293","75.2174832779876","75.5861067338285","75.8525550961296","76.1853126002235","76.8265972675495","77.1710738924007","77.6697272386685","78.2296846427704","78.8246698328259","79.2159622532347","79.2836972346969","78.8750166460154","79.3794253154833","79.0025366666069","79.5018901441906","89.5366015409232","","","","","","","","","",
"East Asia & Pacific","EAS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.0420466511168","76.6882806632362","77.2662161640898","77.7750635045188","78.3424010092597","78.8039207579933","79.1743445959134","79.2167726930642","78.650151106621","79.1382167830895","79.1955954841474","79.8497103463898","80.5791642937183","82.0243363920613","82.8100527339814","83.2558385336467","83.9015836030415","84.7401395589119","84.5400858662495","84.549919287024","85.1620153966553","86.5973178099304","86.7426322828154","86.7237300526565","86.3961530004804","87.8853641482509","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5782159876035","92.421391916061","91.8029070024057","90.6143106430758","89.8874577712679","89.5331087063101","88.0707399127669","88.0372579291681","88.0635581772927","88.2165062630887","88.1626351284345","88.2483073849407","88.4077458531151","88.8274726227172","88.7254173361379","88.6238761993649","88.8487810791978","89.1061710293617","89.2239742519999","88.4751022066176","88.2960225344849","88.8792924262561","88.6367358442398","88.0823030162972","86.6216421016631","86.843187660708","","","","","","","","","",
"Europe & Central Asia","ECS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.7145738673479","86.4030784273994","85.5089792203637","84.6124946701828","84.1005985150719","83.7905108510317","83.3616272987606","82.8471965166254","82.8412700855524","82.5001139825607","82.3436663623897","82.1317880275228","82.0919517181576","82.2739669509266","81.9615427981263","81.774607140796","81.7143769847078","81.6176445081303","81.3523445935896","80.2614844972683","80.1490280627019","80.2106162791073","79.7686403502856","78.8086216087255","78.3798150596385","71.5704915402549","","","","","","","","","",
